id,senior_id,caregiver_id,booking_date,start_time,duration_hrs,status,hourly_rate,total_amount,notes,created_at,updated_at
cfe254e4-b980-429b-b862-a6d3e8836de7,c4841607-921d-4c6c-ad32-cabea4d700ec,fc2f22bd-ce48-45f5-9c60-4143194b000e,2025-06-02,11:00:00,2,completed,415,954,খাবারের সময় লক্ষ্য রাখবেন। হালকা খাবার পছন্দ করেন।,2025-05-31T18:00:00.000Z,2025-11-15T18:00:15.481Z
2bebdd71-7680-48c3-a7a5-68e0ed47ead7,c4841607-921d-4c6c-ad32-cabea4d700ec,b4a5f652-440c-453c-bb69-01d539e8b665,2025-10-27,08:00:00,5,completed,444,2553,,2025-10-22T18:00:00.000Z,2025-11-15T18:00:15.484Z
042a8149-c8d8-49d3-b4df-6b7fc75925ab,c4841607-921d-4c6c-ad32-cabea4d700ec,c2b56b11-a620-44d2-92f9-959eaf49a8ac,2025-06-06,12:00:00,4,completed,596,2742,,2025-06-04T18:00:00.000Z,2025-11-15T18:00:15.485Z
a9801b93-88a2-4e1d-9431-269716cdd914,c4841607-921d-4c6c-ad32-cabea4d700ec,5e5ed403-f1c3-4073-a03d-5b5ff495c7ee,2025-06-20,12:00:00,2,completed,385,885,সিনিয়রের বিশেষ যত্ন প্রয়োজন। ধৈর্য সহকারে কাজ করবেন।,2025-06-13T18:00:00.000Z,2025-11-15T18:00:15.485Z
5a8b1295-3a16-4fa3-948d-35ca748aebc9,c4841607-921d-4c6c-ad32-cabea4d700ec,c7e97736-b86f-4f8e-aa66-25a0cf74c39a,2025-11-06,13:00:00,6,completed,381,2629,গোসলের সময় সাহায্য করতে হবে। সাবধানে হ্যান্ডেল করবেন।,2025-10-30T18:00:00.000Z,2025-11-15T18:00:15.486Z
143603e4-6660-49cf-8a83-a237b5c46d1b,c4841607-921d-4c6c-ad32-cabea4d700ec,ba285f5d-3f13-4f39-a300-f83850785c5a,2025-10-27,10:00:00,6,completed,391,2698,,2025-10-23T18:00:00.000Z,2025-11-15T18:00:15.486Z
ad5f5638-5427-49ef-8109-bbf103e1bea2,022686ac-8d30-4ac9-b0ec-69f221c3b3f4,4722d34e-e576-4f81-8bb6-2a8b9bdc0f64,2025-08-20,10:00:00,6,completed,384,2650,দয়া করে সময়মতো আসবেন। ওষুধের সময় মনে রাখবেন।,2025-08-12T18:00:00.000Z,2025-11-15T18:00:15.487Z
e5301757-1a2c-4795-ad1d-031509f2fbc3,022686ac-8d30-4ac9-b0ec-69f221c3b3f4,5f5ad5ac-5240-4b13-b812-d9de982d657c,2025-10-29,09:00:00,6,completed,536,3698,দয়া করে সময়মতো আসবেন। ওষুধের সময় মনে রাখবেন।,2025-10-21T18:00:00.000Z,2025-11-15T18:00:15.487Z
4cd7225f-8b33-4c92-8259-2fbc97663051,022686ac-8d30-4ac9-b0ec-69f221c3b3f4,a4820828-cfbc-40dc-acae-6d122df3db17,2025-07-29,14:00:00,2,cancelled,593,1364,খাবারের সময় লক্ষ্য রাখবেন। হালকা খাবার পছন্দ করেন।,2025-07-25T18:00:00.000Z,2025-11-15T18:00:15.488Z
76e421f2-2c95-4cfa-b52c-c4ecb1519684,022686ac-8d30-4ac9-b0ec-69f221c3b3f4,672fa461-788d-421f-8c18-eb8eca716654,2025-08-23,12:00:00,6,completed,522,3602,,2025-08-16T18:00:00.000Z,2025-11-15T18:00:15.488Z
8b4d7313-b409-4d63-9ad3-068e3040cf33,022686ac-8d30-4ac9-b0ec-69f221c3b3f4,bd685c4e-a0e2-4298-a218-16a1a52cc9ba,2025-06-14,13:00:00,6,completed,571,3940,দয়া করে সময়মতো আসবেন। ওষুধের সময় মনে রাখবেন।,2025-06-09T18:00:00.000Z,2025-11-15T18:00:15.488Z
